Job Title,Company,Location,Skills
QA Automation Engineer,UBA Solutions,Kathmandu,none
Python Developer,Verisk Nepal,Lalitpur,"React,Postgresql,Python,Django Framework,"
Senior DevOps Engineer,CloudHero,Remote,"Communication,Devops,Cloud Computing,Linux,Kubernetes,"
DBA-SQL Developer,Verisk Nepal,Kathmandu,"Postgresql,Mysql,Database Administration,"
Software Developer,SeeLogic International,"Kathmandu, Nepal","Project Coordination,Communication,Crm,Project Management,Microsoft Office Suite,"
Wordpress Developer,Diagonal Technologies,"Sankhamul,lalitpur","Xdebug,Sql,Php,Sass,"
Monitoring and Evaluation Speci…,CDM Smith,Kathmandu,"Interpersonal,Management,Communication,Monitoring,Computer Operation,Analytical,"
Senior iOS Developer,Eka Desko Private Limited,Work From Home,"Json,Ios,Http,Javascript,"
Senior Java/Angular Developer,Eka Desko Private Limited,Work From Home,"Spring Boot,Ci/Cd,Frontend Frameworks,Version Control,(Eg-React/Angu… Java,"
.Net Developer,Verisk Nepal,Kathmandu,"Angular,Communication,C#,Aws Services,Asp.Net,"
QA Automation Engineer,Verisk Nepal,"Kathmandu, Nepal","Interpersonal,Management,Communication,"
AWS DevOps/Linux Admin,Verisk Nepal,Kathmandu,"Devops,Aws,"
QA Engineer,Verisk Nepal,"Kathmandu, Nepal","Interpersonal,Management,Communication,"
ETL Developer,Verisk Nepal,Kathmandu,"Postgresql,Mysql,Database Administration,"
Frontend Developer (React / Typ…,Diagonal Technologies,"Sankhamul, Lalitpur","Nextjs,React Native,Typescript,Graphql,Reactjs,"
Vue.js full stack developer,Dzango Technologies Limited,"Kupondole, Lalitpur","Node.Js,Vue.Js,Html5/Css3,Git,"
Site Reliability Engineer,UBA Solutions,"Imadole, Lalitpur",none
Web Content Writer + Editor,KPO and Company,"Office or Freelance,Kathmandu",none
Team Lead -UX,Smart Data Solution,Kupondole,"Html,Jquery,Css,Javascript,Js,Regex,Vue.Js,Xml,"
React Developer (Full stack dev…,Dzango Technologies Limited,"Kupondole, Lalitpur","React.Js,Html5/Css3,Git,"
ReactJS/React Native,Dhuni Software,Kathmandu,"Communication,Html,Css,Javascript,"
Mid-Level .NET Developer,Professional Computer System (PCS),Kathmandu,"Html,Css,Javascript,.Net Core,Asp.Net,Reactjs,"
Ecommerce Administrator,Felt and Yarn,"Khusibu, Nayabazzar, Kathmandu","Communication,Writing,Time Management,"
Java Developer (Account Managem…,Smart Data Solution,Kupondole,"Jquery,Css,Javascript,J2Ee,Java,"
JAVA Developer,BI-SOLUTIONS,Remote,"Html,Css,Javascript,Angular,Node.Js,Xml,"
Full Stack Developers,Aayulogic,Nepal,none
Tech Lead,Technology For All,Kathmandu with travel to hub sites all over Nepal,none
UI/UX-Graphic Designer (Web and…,SeeLogic International,"Kathmandu, Nepal",none
Software Engineer- Java,Verisk Nepal,"Kathmandu, Nepal","Spring Framework,Jquery,Javascript,Sql,Angular,Git,"
Python Data Engineer,Verisk Nepal,"Kathmandu, Nepal","Ec2,Jupyter,Numpy,Sql Scripts.,Python,"
QA/QC,Aayulogic,Nepal,none
QA/QC Intern,Aayulogic,Nepal,none
Intern Developer,Aayulogic,Nepal,none
IT- Assistant Trainee,Nepal Digital Payments Company Limited,Kathmandu,"Unix,Linux,Networking,Scripting Language,"
Trainee,Verisk Nepal,"Kathmandu, Nepal","Interpersonal,Management,Communication,"
Associate Software Engineers (J…,Cedar Gate Services,"Kathmandu, Nepal",none
Software Engineer (Machine Lear…,Cedar Gate Services,"Kathmandu, Nepal",none
IT business Analyst,Aayulogic,Nepal,none
Junior Software Engineer,Vairav Technology,"Baluwatar, Kathmandu","Interpersonal,Management,Communication,Time Management,Framework,Ui/Ux Designs,"
IT Officer,Sajhadeal OSPL,"Kathmandu, Nepal",none
Sr. QA Engineer,Pay Nep,"Kathmandu, Nepal","Interpersonal,Communication,Python,Javascript,"
Associate Lead Engineer – Front…,UBA Solutions,"Imadole, Lalitpur, Nepal",none
Senior Software Engineer - MEAN,UBA Solutions,"Imadole, Lalitpur, Nepal",none
Associate Engineer Manager,Artelir Nepal,Kathmandu,"Creativity,Interpersonal,Management,Administration,"
Business Analyst,Cedar Gate Services,"Kathmandu, Nepal",none
DOT NET (.NET) Software Develop…,Dolphin Dive Technology,"Sanepa, Lalitpur","Web Services Security,Asp.Net,C#,Mvc,Entity Framework,Web Api,Web Development,Product Development,"
Digital Librarian/IT,United School,"Imadole, Lalitpur","Interpersonal,Communication,Problem Solving,Data Editing,Digital Library,"
Quality Analyst,EBPearls,Kandevsthan,"Agile/Scrum,Quality Assurance,Record Management,Problem Solving,"
Wordpress Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Jquery,Css,Javascript,Html5,Sass,"
IOS Developer,EBPearls,"Kandevtasthan, Kupondole, Lalitpur","Cocoa Touch,Coredata,Orm And Rdbms,"
Android Developer,EBPearls,Kandevsthan,"Mvc,Architecture,Mvvm,"
ReactJS/VueJS Developer,EBPearls,"Lalitpur, Nepal","Html,Css,Javascript,Vuejs,Reactjs,"
Java Developers,Resimator (Oy),"Mahakavi Marg 29 Dillibazar, Kathmandu","Spring Framework,"
PHP Developer,Thulo.Com,"Jwagal road, Kupondol, lalitpur","Wordpress,Php,Asp.Net,"
WordPress Technical Support,ThemeGrill,"Basundhara-3, Kathmandu (Work From Home Currently)","Php,Css,Javascript,Git,Technical Support,"
Developer,Kazi Studios,"Chakupat , Patan Dhoka","Interpersonal,Troubleshooting,Management,Communication,Documentation,Time Management,"
Sr. Java Developer,Bugv Software Technologies,"Maitidevi, Kathmandu","Orm,Sql,Restful,Javascript,Web Framework,Software Developer,Javasql,"
Dot Net Developer,Tech One Global,"Bishalnagar-4, Kathmandu","Jquery,Css / Css3,Anjularjs,Communication,Problem Solving,Analytical,Html 5,"
Information Security Officer,Nepal Clearing House,Kathmandu,"Computer Science,Pci-Dss,Iso 27001,Vapt,Network Security,"
Software Developer – Back End,Nepal Clearing House,Kathmandu,"Html,Css,Javascript,Sql,Python,Gwt,"
Software Developer (Full Stack),Nepal Clearing House,Kathmandu,"Html,Css,Javascript,Angularjs,C#,Python,"
Android Developer,Nepal Clearing House,Kathmandu,"Android App Development,Apis,Rest/Json,Git,"
iOS Developer,Nepal Clearing House,Kathmandu,"Rest/Json,Ios App Development,Core Animation,Ui/Ux,Objective-C,"
Developer – Front End,Nepal Clearing House,Kathmandu,"Html,Css,Javascript,React,Angularjs,"
Jr. Developer – Front End,Nepal Clearing House,Kathmandu,"Css,Rest Apis,Javascript,Angularjs,Vuejs,"
QA Engineer,Nepal Clearing House,Kathmandu,"Ftp,Web Services,Web/ Mobile Applications,Xml,"
DevOps Engineer,Nepal Clearing House,Kathmandu,"Javascript,Mysql Database,Rdbms,Postgresql,Python,"
Support Analyst/Executive,Nepal Clearing House,Kathmandu,"Interpersonal,Communication,Multitasking,Time Management,"
Operations Executive,Nepal Clearing House,Kathmandu,"Interpersonal,Communication,Documentation Skills,"
System Analyst,Nepal Clearing House,Kathmandu,"Interpersonal,Xml,Mobile Applications,"
Analyst-Payment Systems,Nepal Clearing House,Kathmandu,"Web Services Security,Interpersonal,Sql,Communication,Linux/ Windows Os,Api,"
Software and Application Engine…,Huawei Technologies Nepal Co.Pvt.Ltd,"Pulchowk, Lalitpur","Interpersonal,Customer Relationship Management,Troubleshooting,Management,Communication,"
Front end Developer (React/Vue),Governance Automation Solution (GAS Nepal),Kupandole,"Interpersonal,Html,Css,React,Debugging Skills,Multitasking,"
UX/UI/Photoshop Designer,Governance Automation Solution (GAS Nepal),Kupandole,"Communication,Multitasking,Photoshop,Ui/Ux,"
Php Developer,Jaruwa Nepal,"Anamnagar-29, Kathmandu","Php,Html/Css,Laravel Framework,Linux,Git,"
Project Manager,Sumeru Securities,Kathmandu,none
WordPress Developer / Php Devel…,Australian Digital Agency,Kathmandu,none
Senior PHP / App Developer,Tulips Technologies,"Baneshwor, Kathmandu","Php,Html,Wordpress,Asp.Net,Android,"
Sr. Store Officer (Store Inchar…,Digital Home International,Kathmandu,"Interpersonal,Communication,Record Management,Microsoft Office Suite,"
PHP Developer,Thamserku,"Kathmandu, Nepal","Php,Javascript,Css3,Wordpress,Laravel Framework,Communication,"
Technical Writer,ContentioLab,Work From Home,none
Sr. Network Administrator,Green Cube Technologies Pvt. Ltd.,"Kathmandu, Nepal","Management,Communication,Interpersonal,Troubleshooting,"
QA Automation Engineer,Design Core Systems,Kathmandu,none
Engineering Manager,EBPearls,none,none
Full Stack Shopify Developer,EBPearls,none,none
Junior Blogger/Content Writer,ThemeGrill,"Basundhara-3, Kathmandu (Work From Home or Office)","Blogging,Wordpress,Marketing,Search Engine Optimization (Seo),"
Electrical Lab Instructor,Advanced College of Engineering and Management,"Kalanki, Kathmandu","Interpersonal,Communication,Teamwork,Time Management,"
Computer Engineer,K&A Engineering Consulting P.C,"sanepa, lalitpur",none
Full Stack Developer,nGen Technologies,Remote,"Interpersonal,Php,Css,Communication,Wordpress,"
Scrum Master,Altigen Communications Inc.,Kathmandu,"Project Coordination,Agile Development,Production Management,Project Management,Product Development,"
Python Developer,Smart Tech Solution Pvt. Ltd.,"New Baneswor, Kathmandu, Nepal",none
Senior Front-End Engineer,Altigen Communications Inc.,"Kathmandu, Nepal","Interpersonal,Html5,Css3,React,Management,Communication,Angular,Typescript,"
Laptop Sales and Support,Two Four Six Impex Pvt. Ltd.,"New Road, Baneshwor","Interpersonal,Management,Communication,Time Management,Problem Solving,Customer Service,"
Quality Assurance,Oncore Corporation,Butwal,"Selenium Webdriver,Unix,Javascript,Sql,Docker,"
Senior Java Developer,Oncore Corporation,Butwal,"Html,Css,Ui/Ux,Wordpress,Asp.Net,"
PHP Developer,AdMana Technology,"Tripureshwor, Kathmandu Opposite to World Trade Center","Interpersonal,Laravel Framework,Javascript,Communication,Teamwork,Creativity,Adaptability,"
Sr. Business Analyst,Aqore Software,"New Baneshwor, Kathmandu","Communication,Negotiation,People Skills,Documentation,Ba Tools And Technology,"
Associate Quality Assurance Eng…,Aqore Software,"New Baneshwor, Kathmandu","Regression Testing,Ui Testing,Functional Testing,Intregation Testing,Tfs,"
Senior .NET Developer,Aloi Private Limited,"Kuleshwor, Kathmandu",".Net,Sql Server,Asp.Net,Windows Server,"
Mid-level .NET Developer,Aloi Private Limited,"Kuleshwor, Kathmandu",".Net,Asp.Net,"
